node2,node4,node5,node3,node6
2228,2335,2250,1284,2294
2228,2384,2250,1176,2353
2228,2384,2142,1284,2353
2169,2335,2250,1284,2353
2169,2443,2142,1284,2353
2169,2443,2250,1176,2353
2228,2276,2250,1343,2294
2228,2276,2250,1284,2353
2228,2276,2191,1343,2353
2169,2335,2191,1343,2353
2228,2335,2191,1343,2294
2228,2335,2191,1284,2353
2228,2443,2250,1284,2186
2228,2443,2142,1284,2294
2228,2443,2250,1176,2294
2228,2384,2250,1284,2245
2169,2443,2083,1343,2353
2228,2384,2142,1343,2294
2228,2443,2142,1343,2188
2228,2396,2142,1343,2235
2181,2443,2142,1343,2235
2169,2384,2142,1343,2353
2169,2443,2142,1343,2294
2169,2443,2191,1343,2245
2169,2384,2250,1343,2245
2169,2443,2250,1343,2186
2228,2325,2250,1343,2245
2120,2278,2250,1343,2353
2120,2325,2203,1343,2353
2228,2325,2250,1235,2353
2073,2325,2250,1343,2353
2228,2384,2250,1235,2294
2120,2384,2191,1343,2353
2228,2384,2250,1343,2186
2120,2384,2250,1343,2294
2061,2384,2250,1343,2353
2169,2384,2250,1235,2353
2120,2384,2250,1284,2353
2228,2443,2250,1343,2127
2169,2443,2250,1284,2245
2228,2443,2191,1284,2245
2061,2443,2250,1284,2353
2120,2443,2250,1225,2353
2120,2443,2191,1343,2294
2120,2443,2250,1284,2294
2169,2443,2250,1235,2294
2169,2443,2191,1235,2353
2228,2443,2250,1117,2353
2228,2443,2250,1235,2235
2228,2443,2191,1176,2353
2228,2443,2191,1235,2294
2014,2384,2358,1343,2245
2122,2384,2358,1343,2137
2181,2384,2358,1284,2137
2073,2325,2358,1235,2353
2073,2384,2358,1343,2186
2181,2325,2358,1343,2137
2073,2384,2299,1343,2245
2181,2384,2299,1343,2137
2122,2443,2358,1284,2137
2014,2443,2358,1284,2245
2181,2443,2299,1068,2353
2073,2443,2299,1284,2245
2181,2443,2299,1284,2137
2014,2443,2358,1343,2186
2122,2443,2358,1343,2078
2073,2443,2358,1343,2127
2181,2443,2358,1343,2019
2120,2384,2252,1343,2245
2120,2443,2252,1284,2245
2228,2384,2252,1343,2137
2228,2443,2252,1068,2353
2228,2443,2252,1284,2137
2061,2384,2311,1343,2245
2061,2443,2311,1284,2245
2061,2443,2311,1343,2186
2169,2384,2311,1343,2137
2169,2443,2311,1284,2137
2169,2443,2311,1343,2078
2120,2325,2311,1235,2353
2120,2384,2311,1343,2186
2120,2443,2311,1343,2127
2228,2384,2311,1284,2137
2228,2325,2311,1343,2137
2228,2443,2311,1343,2019
2228,2396,2299,1068,2353
2228,2443,2299,1068,2306
2228,2384,2358,1068,2353
2120,2384,2358,1176,2353
2228,2443,2358,1117,2245
2120,2443,2358,1117,2353
2228,2443,2358,1176,2186
2120,2443,2358,1176,2294
2228,2396,2299,1284,2137
2120,2396,2299,1284,2245
2228,2337,2358,1284,2137
2228,2335,2358,1117,2353
2120,2335,2358,1225,2353
2228,2443,2358,1225,2137
2120,2443,2358,1225,2245
2228,2335,2299,1176,2353
2120,2335,2299,1284,2353
2228,2276,2358,1284,2245
2228,2335,2358,1284,2186
2120,2335,2358,1284,2294
2228,2443,2358,1284,2078
2120,2443,2358,1284,2186
2228,2335,2299,1235,2294
2169,2335,2299,1235,2353
2228,2384,2299,1127,2353
2228,2276,2299,1343,2245
2120,2276,2299,1343,2353
2061,2335,2299,1343,2353
2228,2384,2299,1235,2245
2120,2384,2299,1235,2353
2228,2443,2299,1235,2186
2169,2443,2299,1235,2245
2228,2337,2299,1343,2137
2120,2337,2299,1343,2245
2228,2443,2299,1343,2078
2169,2443,2299,1343,2137
2120,2443,2299,1343,2186
2061,2443,2299,1343,2245
2228,2384,2358,1176,2245
2228,2325,2358,1235,2245
